type,air_temperature_k,process_temperature_k,rotational_speed_rpm,torque_nm,tool_wear_min,failure_type,diff_temperature_air_process,power_W,wear_x_torque_minNm
M,299.2,308.9,1447,39.6,22,No Failure,9.699999999999989,6000.6,871.2
L,299.3,309.1,1399,52.1,27,No Failure,9.800000000000011,7632.8,1406.7
M,299.3,309.2,1334,46.3,31,No Failure,9.899999999999977,6467.9,1435.3
M,299.3,309.1,1385,45.6,34,No Failure,9.800000000000011,6613.7,1550.4
H,299.4,309.3,1534,37.5,39,No Failure,9.900000000000034,6024.0,1462.5
L,299.4,309.3,1448,48.6,44,No Failure,9.900000000000034,7369.4,2138.4
L,299.5,309.3,1409,44.7,46,No Failure,9.800000000000011,6595.5,2056.2000000000003
L,299.4,309.2,1621,34.5,48,No Failure,9.800000000000011,5856.4,1656.0
H,299.4,309.1,1547,40.9,50,No Failure,9.700000000000045,6625.9,2045.0
L,299.4,309.1,1957,22.1,55,No Failure,9.700000000000045,4529.1,1215.5
L,299.4,309.1,2421,14.2,57,No Failure,9.700000000000045,3600.1,809.4
M,299.3,309.1,1571,38.3,59,No Failure,9.800000000000011,6300.9,2259.7
L,299.3,309.1,1634,36.8,62,No Failure,9.800000000000011,6296.9,2281.6
L,299.3,309.0,1516,38.7,64,No Failure,9.699999999999989,6143.8,2476.8
L,299.4,309.1,1207,66.5,66,No Failure,9.700000000000045,8405.4,4389.0
M,299.4,309.1,1461,48.6,70,No Failure,9.700000000000045,7435.6,3402.0
L,299.4,309.2,1569,40.8,73,No Failure,9.800000000000011,6703.7,2978.3999999999996
L,299.4,309.2,1556,35.7,75,No Failure,9.800000000000011,5817.1,2677.5
M,299.5,309.3,1506,41.5,77,No Failure,9.800000000000011,6544.9,3195.5
M,299.6,309.4,1642,30.3,80,No Failure,9.799999999999955,5210.1,2424.0
M,299.6,309.4,1283,62.1,83,No Failure,9.799999999999955,8343.5,5154.3
H,299.7,309.5,1375,46.8,86,No Failure,9.800000000000011,6738.7,4024.7999999999997
L,299.7,309.4,1399,39.9,91,No Failure,9.699999999999989,5845.5,3630.9
L,299.7,309.4,1650,29.8,93,No Failure,9.699999999999989,5149.1,2771.4
M,299.8,309.6,1346,53.2,95,No Failure,9.800000000000011,7498.7,5054.0
H,299.9,309.6,1410,51.2,98,No Failure,9.700000000000045,7559.9,5017.6
M,300.0,309.7,1652,28.6,112,No Failure,9.699999999999989,4947.7,3203.2000000000003
L,300.1,309.8,1532,39.8,115,No Failure,9.699999999999989,6385.1,4577.0
L,300.0,309.7,1554,32.0,117,No Failure,9.699999999999989,5207.5,3744.0
L,299.9,309.6,1254,61.3,124,No Failure,9.700000000000045,8049.8,7601.2
L,299.9,309.6,1294,49.7,126,No Failure,9.700000000000045,6734.7,6262.200000000001
M,299.8,309.4,1412,47.8,130,No Failure,9.599999999999966,7067.9,6214.0
H,299.8,309.5,1420,46.7,136,No Failure,9.699999999999989,6944.4,6351.200000000001
L,299.8,309.5,1542,40.3,141,No Failure,9.699999999999989,6507.6,5682.299999999999
M,299.8,309.4,1401,48.1,143,No Failure,9.599999999999966,7056.9,6878.3
H,299.9,309.5,1547,38.5,148,No Failure,9.600000000000023,6237.1,5698.0
M,299.8,309.5,1453,43.2,153,No Failure,9.699999999999989,6573.2,6609.6
L,299.8,309.4,1436,51.6,158,No Failure,9.599999999999966,7759.5,8152.8
M,299.9,309.5,1582,38.2,160,No Failure,9.600000000000023,6328.5,6112.0
L,299.9,309.6,1280,59.3,163,No Failure,9.700000000000045,7948.6,9665.9
L,299.9,309.5,2008,20.4,165,No Failure,9.600000000000023,4289.7,3365.9999999999995
L,299.9,309.5,1567,35.5,171,No Failure,9.600000000000023,5825.4,6070.5
M,299.8,309.4,1751,27.0,173,No Failure,9.599999999999966,4950.8,4671.0
L,299.9,309.5,1349,51.3,176,No Failure,9.600000000000023,7247.0,9028.8
M,300.0,309.5,1425,40.8,178,No Failure,9.5,6088.4,7262.4
L,300.0,309.4,1395,44.5,181,No Failure,9.399999999999977,6500.7,8054.5
H,299.8,309.3,1595,32.1,183,No Failure,9.5,5361.6,5874.3
L,299.8,309.3,1291,56.4,188,No Failure,9.5,7624.9,10603.199999999999
M,299.9,309.4,1509,42.8,190,No Failure,9.5,6763.3,8131.999999999999
M,299.9,309.4,1487,42.2,198,No Failure,9.5,6571.3,8355.6
L,299.8,309.4,2256,15.9,201,No Failure,9.599999999999966,3756.3,3195.9
H,299.7,309.2,1691,27.7,203,No Failure,9.5,4905.1,5623.099999999999
M,299.8,309.3,1640,31.1,211,No Failure,9.5,5341.1,6562.1
H,299.7,309.3,1494,37.8,214,No Failure,9.600000000000023,5913.9,8089.2
L,299.8,309.4,1467,46.2,219,No Failure,9.599999999999966,7097.4,10117.800000000001
M,299.7,309.3,1399,41.9,221,Tool Wear Failure,9.600000000000023,6138.5,9259.9
L,299.7,309.3,1445,42.6,0,No Failure,9.600000000000023,6446.2,0.0
L,299.8,309.4,1480,40.9,2,No Failure,9.599999999999966,6338.9,81.8
L,299.7,309.3,1546,37.2,4,No Failure,9.600000000000023,6022.6,148.8
L,299.7,309.3,1574,35.8,6,No Failure,9.600000000000023,5900.9,214.79999999999998
L,299.7,309.3,1592,34.2,8,No Failure,9.600000000000023,5701.6,273.6
L,299.8,309.6,1447,43.1,12,No Failure,9.800000000000011,6530.9,517.2
L,299.8,309.5,1476,44.4,14,No Failure,9.699999999999989,6862.7,621.6
L,299.8,309.5,1545,32.2,18,No Failure,9.699999999999989,5209.7,579.6
M,299.9,309.6,1364,44.4,20,No Failure,9.700000000000045,6342.0,888.0
L,299.8,309.5,1590,28.5,23,No Failure,9.699999999999989,4745.4,655.5
L,299.8,309.4,1633,27.5,29,No Failure,9.599999999999966,4702.7,797.5
L,299.9,309.4,1348,52.8,31,No Failure,9.5,7453.4,1636.8
L,300.0,309.5,1641,30.1,35,No Failure,9.5,5172.5,1053.5
L,300.0,309.5,1728,26.0,37,No Failure,9.5,4704.8,962.0
L,300.0,309.6,1431,47.7,39,No Failure,9.600000000000023,7148.0,1860.3000000000002
L,300.1,309.7,1641,30.4,41,No Failure,9.599999999999966,5224.1,1246.3999999999999
M,300.1,309.6,1625,38.0,46,No Failure,9.5,6466.4,1748.0
L,300.0,309.5,1869,22.7,49,No Failure,9.5,4442.9,1112.3
L,300.0,309.6,1452,46.0,51,No Failure,9.600000000000023,6994.4,2346.0
L,300.0,309.6,1618,28.7,53,No Failure,9.600000000000023,4862.8,1521.1
L,300.0,309.4,2010,20.0,55,No Failure,9.399999999999977,4209.7,1100.0
L,299.9,309.3,1473,40.4,59,No Failure,9.400000000000034,6231.8,2383.6
L,299.9,309.2,1333,50.8,61,No Failure,9.300000000000011,7091.2,3098.7999999999997
L,299.8,309.2,1760,25.9,63,No Failure,9.399999999999977,4773.5,1631.6999999999998
M,299.8,309.2,1372,58.2,65,No Failure,9.399999999999977,8361.9,3783.0
M,299.7,309.2,1608,34.4,68,No Failure,9.5,5792.6,2339.2
L,299.7,309.2,1326,64.8,71,No Failure,9.5,8998.0,4600.8
M,299.6,309.0,1539,36.1,76,No Failure,9.399999999999977,5818.0,2743.6
L,299.6,309.1,1574,39.2,83,No Failure,9.5,6461.3,3253.6000000000004
L,299.6,309.1,1407,50.6,85,No Failure,9.5,7455.4,4301.0
H,299.7,309.2,1302,55.5,87,No Failure,9.5,7567.2,4828.5
M,299.6,309.2,1651,30.8,92,No Failure,9.599999999999966,5325.1,2833.6
M,299.5,309.1,1422,45.3,103,No Failure,9.600000000000023,6745.7,4665.9
L,299.6,309.2,1559,39.1,110,No Failure,9.599999999999966,6383.4,4301.0
M,299.6,309.3,1553,32.4,112,No Failure,9.699999999999989,5269.2,3628.7999999999997
L,299.7,309.4,1362,51.9,117,No Failure,9.699999999999989,7402.4,6072.3
M,299.8,309.3,1470,42.7,119,No Failure,9.5,6573.2,5081.3
L,299.8,309.4,1555,34.8,122,No Failure,9.599999999999966,5666.8,4245.599999999999
L,299.7,309.3,1434,38.5,127,No Failure,9.600000000000023,5781.5,4889.5
L,299.7,309.3,1417,54.6,131,No Failure,9.600000000000023,8102.0,7152.6
L,299.6,309.2,1425,45.9,133,No Failure,9.599999999999966,6849.5,6104.7
M,299.7,309.2,1597,32.9,135,No Failure,9.5,5502.1,4441.5
L,299.7,309.2,1346,57.4,138,No Failure,9.5,8090.7,7921.2
L,299.7,309.2,1422,40.4,140,No Failure,9.5,6016.0,5656.0
H,299.7,309.2,1572,32.8,142,No Failure,9.5,5399.5,4657.599999999999
M,299.7,309.1,1576,36.4,149,No Failure,9.400000000000034,6007.4,5423.599999999999
M,299.8,309.1,1496,44.4,155,No Failure,9.300000000000011,6955.7,6882.0
L,299.8,309.2,1572,35.4,158,No Failure,9.399999999999977,5827.5,5593.2
L,299.6,309.0,1525,42.8,160,No Failure,9.399999999999977,6835.1,6848.0
L,299.6,309.0,1378,51.9,162,No Failure,9.399999999999977,7489.4,8407.8
L,299.6,309.1,1369,51.4,164,No Failure,9.5,7368.8,8429.6
L,299.6,309.1,1476,45.3,166,No Failure,9.5,7001.9,7519.799999999999
L,299.7,309.2,1620,30.0,168,No Failure,9.5,5089.4,5040.0
M,299.7,309.1,1603,38.5,170,No Failure,9.400000000000034,6462.8,6545.0
L,299.7,309.2,1616,31.6,175,No Failure,9.5,5347.6,5530.0
H,299.7,309.2,1456,40.6,182,No Failure,9.5,6190.4,7389.2
M,299.7,309.1,1851,24.7,189,No Failure,9.400000000000034,4787.8,4668.3
L,299.7,309.1,1715,27.8,192,No Failure,9.400000000000034,4992.7,5337.6
H,299.6,309.1,1630,32.3,194,No Failure,9.5,5513.4,6266.2
L,299.7,309.2,1478,38.8,199,No Failure,9.5,6005.3,7721.2
L,299.7,309.2,1781,29.6,201,No Failure,9.5,5520.6,5949.6
L,299.8,309.2,1439,36.1,203,No Failure,9.399999999999977,5440.0,7328.3
M,299.7,309.2,1412,45.3,205,No Failure,9.5,6698.3,9286.5
L,299.7,309.1,1483,41.1,208,No Failure,9.400000000000034,6382.8,8548.800000000001
L,299.8,309.2,1400,42.6,210,No Failure,9.399999999999977,6245.5,8946.0
L,299.8,309.2,1479,44.4,214,No Failure,9.399999999999977,6876.7,9501.6
M,299.9,309.3,1389,52.8,0,No Failure,9.400000000000034,7680.1,0.0
M,299.9,309.4,1399,54.8,3,No Failure,9.5,8028.4,164.39999999999998
L,300.0,309.5,1925,21.9,9,No Failure,9.5,4414.7,197.1
M,300.0,309.6,1477,38.1,13,No Failure,9.600000000000023,5893.0,495.3
L,299.9,309.5,1451,39.4,18,No Failure,9.600000000000023,5986.8,709.1999999999999
L,299.9,309.4,1467,41.2,20,No Failure,9.5,6329.3,824.0
L,299.9,309.4,1858,22.5,22,No Failure,9.5,4377.8,495.0
L,300.1,309.4,1453,47.6,28,No Failure,9.299999999999955,7242.7,1332.8
L,300.1,309.4,1464,41.7,30,No Failure,9.299999999999955,6393.0,1251.0
L,300.0,309.4,1308,50.2,32,No Failure,9.399999999999977,6876.1,1606.4
M,300.2,309.6,1556,35.8,36,No Failure,9.400000000000034,5833.4,1288.8
L,300.2,309.5,2183,17.8,39,No Failure,9.300000000000011,4069.1,694.2
M,300.2,309.6,1528,35.1,44,No Failure,9.400000000000034,5616.4,1544.4
M,300.2,309.5,1630,28.3,51,No Failure,9.300000000000011,4830.6,1443.3
M,300.3,309.6,1524,38.4,54,No Failure,9.300000000000011,6128.4,2073.6
H,300.3,309.5,1438,44.0,59,No Failure,9.199999999999989,6625.8,2596.0
L,300.4,309.6,1356,45.9,64,No Failure,9.200000000000045,6517.8,2937.6
H,300.4,309.6,1416,43.3,66,No Failure,9.200000000000045,6420.7,2857.7999999999997
L,300.4,309.7,1584,32.6,71,No Failure,9.300000000000011,5407.6,2314.6
L,300.3,309.6,1597,31.8,73,No Failure,9.300000000000011,5318.2,2321.4
L,300.4,309.6,1553,43.9,75,No Failure,9.200000000000045,7139.4,3292.5
M,300.3,309.5,1405,49.4,77,No Failure,9.199999999999989,7268.3,3803.7999999999997
L,300.2,309.5,1539,35.3,80,No Failure,9.300000000000011,5689.1,2824.0
M,300.3,309.6,1398,53.7,82,No Failure,9.300000000000011,7861.6,4403.400000000001
L,300.3,309.6,1568,39.6,85,No Failure,9.300000000000011,6502.3,3366.0
M,300.2,309.5,1500,45.7,89,No Failure,9.300000000000011,7178.5,4067.3
M,300.3,309.6,1509,46.6,95,No Failure,9.300000000000011,7363.8,4427.0
L,300.2,309.5,1343,50.2,98,No Failure,9.300000000000011,7060.1,4919.6
L,300.1,309.5,1450,40.1,100,No Failure,9.399999999999977,6088.9,4010.0
L,300.0,309.4,1460,43.5,102,No Failure,9.399999999999977,6650.8,4437.0
L,300.0,309.3,1364,41.2,104,No Failure,9.300000000000011,5884.9,4284.8
M,299.9,309.3,1452,41.9,106,No Failure,9.400000000000034,6371.0,4441.4
L,299.9,309.3,1471,41.8,109,No Failure,9.400000000000034,6439.0,4556.2
L,299.9,309.2,1598,34.6,111,No Failure,9.300000000000011,5790.0,3840.6000000000004
L,299.8,309.1,1772,24.8,113,No Failure,9.300000000000011,4602.0,2802.4
L,299.9,309.2,1761,25.6,115,No Failure,9.300000000000011,4720.9,2944.0
M,300.0,309.3,1413,40.7,117,No Failure,9.300000000000011,6022.3,4761.900000000001
L,300.0,309.3,1887,22.6,120,No Failure,9.300000000000011,4465.9,2712.0
L,300.0,309.3,1395,56.5,122,No Failure,9.300000000000011,8253.7,6893.0
M,300.1,309.4,1569,31.6,124,No Failure,9.299999999999955,5192.0,3918.4
L,300.2,309.5,1417,41.1,129,No Failure,9.300000000000011,6098.7,5301.900000000001
L,300.2,309.5,1729,28.4,131,No Failure,9.300000000000011,5142.1,3720.3999999999996
L,300.2,309.5,1436,48.8,135,No Failure,9.300000000000011,7338.4,6588.0
M,300.3,309.6,1419,42.5,137,No Failure,9.300000000000011,6315.4,5822.5
M,300.3,309.5,1320,62.2,142,No Failure,9.199999999999989,8597.9,8832.4
M,300.3,309.5,1448,42.4,145,No Failure,9.199999999999989,6429.3,6148.0
M,300.3,309.4,1612,33.1,150,No Failure,9.099999999999966,5587.6,4965.0
M,300.4,309.4,1875,23.9,155,No Failure,9.0,4692.8,3704.5
M,300.4,309.3,1467,40.3,166,No Failure,8.900000000000034,6191.0,6689.799999999999
L,300.3,309.1,1368,46.0,171,No Failure,8.800000000000011,6589.8,7866.0
L,300.3,309.2,1572,32.0,173,No Failure,8.899999999999977,5267.8,5536.0
M,300.3,309.1,1458,44.3,175,No Failure,8.800000000000011,6763.8,7752.499999999999
L,300.3,309.1,1699,30.3,178,No Failure,8.800000000000011,5390.9,5393.400000000001
L,300.3,309.3,1478,39.5,180,No Failure,9.0,6113.6,7110.0
M,300.4,309.4,1362,42.1,182,No Failure,9.0,6004.7,7662.2
H,300.4,309.4,1487,38.9,185,No Failure,9.0,6057.4,7196.5
L,300.3,309.4,1705,29.4,190,No Failure,9.099999999999966,5249.3,5586.0
L,300.3,309.3,1345,53.5,192,No Failure,9.0,7535.4,10272.0
L,300.3,309.2,1532,40.2,194,No Failure,8.899999999999977,6449.3,7798.8
L,300.3,309.2,1650,35.2,196,No Failure,8.899999999999977,6082.1,6899.200000000001
L,300.3,309.2,1398,54.4,198,No Failure,8.899999999999977,7964.1,10771.199999999999
L,300.4,309.3,1525,39.6,202,No Failure,8.900000000000034,6324.0,7999.200000000001
M,300.3,309.3,1391,57.9,204,No Failure,9.0,8434.0,11811.6
M,300.5,309.3,1539,39.1,216,No Failure,8.800000000000011,6301.5,8445.6
L,300.5,309.3,1470,40.8,219,No Failure,8.800000000000011,6280.7,8935.199999999999
L,300.5,309.3,1528,37.0,221,No Failure,8.800000000000011,5920.4,8177.0
H,300.5,309.3,1471,45.2,223,No Failure,8.800000000000011,6962.7,10079.6
L,300.5,309.3,1417,51.5,231,Overstrain Failure,8.800000000000011,7642.0,11896.5
L,300.7,309.5,1479,43.6,240,No Failure,8.800000000000011,6752.8,10464.0
L,300.6,309.4,1471,44.1,244,No Failure,8.799999999999955,6793.3,10760.4
H,300.7,309.7,1623,32.7,0,No Failure,9.0,5557.7,0.0
L,300.8,309.7,1997,20.7,5,No Failure,8.899999999999977,4328.9,103.5
L,300.8,309.7,1519,35.8,14,No Failure,8.899999999999977,5694.7,501.19999999999993
M,300.8,309.7,1519,39.7,16,No Failure,8.899999999999977,6315.1,635.2
M,300.7,309.6,1536,37.2,19,No Failure,8.900000000000034,5983.6,706.8000000000001
L,300.8,309.6,1680,28.7,22,No Failure,8.800000000000011,5049.2,631.4
L,300.6,309.5,1471,49.6,29,No Failure,8.899999999999977,7640.5,1438.4
M,300.5,309.4,1877,23.8,31,No Failure,8.899999999999977,4678.1,737.8000000000001
M,300.5,309.3,1578,30.5,34,No Failure,8.800000000000011,5040.1,1037.0
M,300.5,309.4,1655,32.1,37,No Failure,8.899999999999977,5563.3,1187.7
H,300.5,309.4,1502,34.3,40,No Failure,8.899999999999977,5395.0,1372.0
L,300.7,309.5,1541,37.2,48,No Failure,8.800000000000011,6003.1,1785.6000000000001
L,300.6,309.6,1684,32.8,53,No Failure,9.0,5784.2,1738.3999999999999
L,300.6,309.6,1409,42.4,57,No Failure,9.0,6256.1,2416.7999999999997
M,300.5,309.5,1320,49.9,59,No Failure,9.0,6897.7,2944.1
H,300.5,309.5,1635,34.2,62,No Failure,9.0,5855.6,2120.4
M,300.6,309.6,1365,50.0,70,No Failure,9.0,7147.1,3500.0
M,300.7,309.7,1523,38.2,73,No Failure,9.0,6092.4,2788.6000000000004
L,300.6,309.7,1593,32.4,76,No Failure,9.099999999999966,5404.9,2462.4
L,300.6,309.6,1682,30.7,78,No Failure,9.0,5407.5,2394.6
M,300.7,309.6,1568,35.2,82,No Failure,8.900000000000034,5779.9,2886.4
L,300.7,309.6,1733,24.8,85,No Failure,8.900000000000034,4500.7,2108.0
M,300.7,309.6,1473,48.1,87,No Failure,8.900000000000034,7419.5,4184.7
M,300.7,309.5,1633,31.3,90,No Failure,8.800000000000011,5352.5,2817.0
M,300.6,309.5,1530,40.2,93,No Failure,8.899999999999977,6440.9,3738.6000000000004
L,300.6,309.4,1410,40.6,99,No Failure,8.799999999999955,5994.8,4019.4
L,300.5,309.3,1574,33.5,101,No Failure,8.800000000000011,5521.8,3383.5
M,300.6,309.4,1541,35.2,105,No Failure,8.799999999999955,5680.3,3696.0000000000005
M,300.7,309.5,1733,26.7,108,No Failure,8.800000000000011,4845.5,2883.6
L,300.6,309.4,2496,13.5,111,No Failure,8.799999999999955,3528.6,1498.5
L,300.6,309.3,1409,38.7,115,No Failure,8.699999999999989,5710.2,4450.5
L,300.7,309.5,1251,59.9,120,No Failure,8.800000000000011,7847.2,7188.0
L,300.6,309.5,1576,38.8,124,No Failure,8.899999999999977,6403.5,4811.2
L,300.7,309.6,1661,30.3,129,No Failure,8.900000000000034,5270.4,3908.7000000000003
L,300.7,309.6,1541,34.6,131,No Failure,8.900000000000034,5583.5,4532.6
H,300.6,309.6,1888,20.5,133,No Failure,9.0,4053.1,2726.5
L,300.5,309.5,1255,62.1,138,No Failure,9.0,8161.4,8569.800000000001
L,300.6,309.6,1411,41.6,140,No Failure,9.0,6146.8,5824.0
L,300.6,309.5,1516,39.0,142,No Failure,8.899999999999977,6191.5,5538.0
M,300.6,309.5,1492,34.0,144,No Failure,8.899999999999977,5312.2,4896.0
L,300.6,309.6,1726,30.0,147,No Failure,9.0,5422.4,4410.0
L,300.7,309.7,1598,33.7,149,No Failure,9.0,5639.4,5021.3
L,300.8,309.8,1657,31.1,151,No Failure,9.0,5396.5,4696.1
L,300.8,309.7,1481,38.1,153,No Failure,8.899999999999977,5908.9,5829.3
M,300.7,309.7,1397,51.3,155,No Failure,9.0,7504.9,7951.5
L,300.8,309.7,1461,44.3,158,No Failure,8.899999999999977,6777.7,6999.4
M,300.7,309.6,1388,51.1,160,No Failure,8.900000000000034,7427.4,8176.0
M,300.7,309.6,1421,49.8,165,No Failure,8.900000000000034,7410.6,8217.0
M,300.8,309.7,1482,39.0,171,No Failure,8.899999999999977,6052.6,6669.0
H,300.7,309.6,1403,51.3,174,No Failure,8.900000000000034,7537.1,8926.199999999999
L,300.8,309.7,1373,45.4,179,No Failure,8.899999999999977,6527.6,8126.599999999999
M,300.8,309.7,1751,27.9,183,No Failure,8.899999999999977,5115.9,5105.7
M,300.8,309.6,1546,42.3,186,No Failure,8.800000000000011,6848.2,7867.799999999999
M,300.9,309.7,1394,48.8,192,No Failure,8.800000000000011,7123.8,9369.599999999999
L,300.7,309.6,1810,26.0,195,No Failure,8.900000000000034,4928.1,5070.0
L,300.7,309.5,1479,34.5,197,No Failure,8.800000000000011,5343.4,6796.5
L,300.9,309.7,1431,41.4,199,No Failure,8.800000000000011,6204.0,8238.6
M,300.7,309.6,1996,19.8,203,Tool Wear Failure,8.900000000000034,4138.6,4019.4
H,300.7,309.5,2007,19.7,2,No Failure,8.800000000000011,4140.4,39.4
H,300.7,309.6,1925,20.5,9,No Failure,8.900000000000034,4132.5,184.5
M,300.7,309.5,1445,46.4,24,No Failure,8.800000000000011,7021.3,1113.6
L,300.7,309.5,1685,31.1,27,No Failure,8.800000000000011,5487.7,839.7
H,300.7,309.5,1667,30.5,29,No Failure,8.800000000000011,5324.3,884.5
L,300.7,309.5,1578,35.4,34,No Failure,8.800000000000011,5849.8,1203.6
M,300.7,309.5,1439,43.8,41,No Failure,8.800000000000011,6600.3,1795.8
M,300.8,309.6,1404,38.7,44,No Failure,8.800000000000011,5689.9,1702.8000000000002
L,300.8,309.6,1498,45.8,47,No Failure,8.800000000000011,7184.7,2152.6
L,300.7,309.5,1467,44.3,55,No Failure,8.800000000000011,6805.5,2436.5
L,300.7,309.5,1508,39.9,59,No Failure,8.800000000000011,6300.9,2354.1
L,300.7,309.5,1692,30.3,64,No Failure,8.800000000000011,5368.7,1939.2
L,300.6,309.4,1369,51.6,71,No Failure,8.799999999999955,7397.4,3663.6
M,300.6,309.4,1312,45.2,73,No Failure,8.799999999999955,6210.1,3299.6000000000004
L,300.6,309.4,1468,44.1,76,No Failure,8.799999999999955,6779.4,3351.6
M,300.6,309.4,1452,39.4,78,No Failure,8.799999999999955,5990.9,3073.2
M,300.7,309.5,1393,43.9,81,No Failure,8.800000000000011,6403.9,3555.9
M,300.6,309.4,1432,44.2,84,No Failure,8.799999999999955,6628.2,3712.8
M,300.5,309.3,1881,25.5,98,No Failure,8.800000000000011,5022.9,2499.0
L,300.4,309.3,1413,50.3,101,No Failure,8.900000000000034,7442.8,5080.299999999999
H,300.5,309.4,1642,36.2,103,No Failure,8.899999999999977,6224.6,3728.6000000000004
L,300.5,309.5,1542,38.5,108,No Failure,9.0,6216.9,4158.0
L,300.4,309.5,1447,39.3,110,No Failure,9.100000000000023,5955.1,4323.0
H,300.4,309.4,1530,40.4,112,No Failure,9.0,6472.9,4524.8
L,300.5,309.5,1795,27.7,117,No Failure,9.0,5206.8,3240.9
L,300.6,309.6,1290,57.4,119,No Failure,9.0,7754.1,6830.599999999999
L,300.6,309.7,1639,30.4,121,No Failure,9.099999999999966,5217.7,3678.3999999999996
L,300.7,309.8,1596,31.5,123,No Failure,9.100000000000023,5264.7,3874.5
L,300.6,309.8,1455,48.0,125,No Failure,9.199999999999989,7313.6,6000.0
M,300.6,309.8,1532,42.5,130,No Failure,9.199999999999989,6818.3,5525.0
L,300.6,309.8,1688,28.6,135,No Failure,9.199999999999989,5055.5,3861.0
M,300.5,309.7,1341,50.9,137,No Failure,9.199999999999989,7147.8,6973.3
M,300.5,309.7,1685,29.4,140,No Failure,9.199999999999989,5187.7,4116.0
M,300.5,309.8,1370,55.9,143,No Failure,9.300000000000011,8019.8,7993.7
L,300.5,309.8,1550,37.4,148,No Failure,9.300000000000011,6070.6,5535.2
M,300.5,309.8,1508,37.8,150,No Failure,9.300000000000011,5969.3,5670.0
L,300.5,309.8,1345,62.7,153,No Failure,9.300000000000011,8831.2,9593.1
L,300.5,309.7,1395,61.0,157,No Failure,9.199999999999989,8911.1,9577.0
H,300.5,309.8,1324,72.8,159,Power Failure,9.300000000000011,10093.6,11575.199999999999
M,300.5,309.8,1555,38.9,166,No Failure,9.300000000000011,6334.4,6457.4
M,300.6,309.9,1449,42.4,169,No Failure,9.299999999999955,6433.7,7165.599999999999
L,300.5,309.9,1503,37.4,175,No Failure,9.399999999999977,5886.5,6545.0
L,300.4,309.7,1314,50.2,179,No Failure,9.300000000000011,6907.6,8985.800000000001
M,300.4,309.7,1547,38.0,181,No Failure,9.300000000000011,6156.1,6878.0
M,300.4,309.7,1466,39.8,184,No Failure,9.300000000000011,6110.1,7323.2
L,300.3,309.6,1537,37.1,187,No Failure,9.300000000000011,5971.4,6937.7
M,300.2,309.5,1434,51.5,189,No Failure,9.300000000000011,7733.7,9733.5
L,300.4,309.6,1432,44.7,192,No Failure,9.200000000000045,6703.2,8582.400000000001
L,300.5,309.6,1390,48.4,194,No Failure,9.100000000000023,7045.1,9389.6
L,300.5,309.7,1580,42.8,196,No Failure,9.199999999999989,7081.6,8388.8
L,300.5,309.7,1589,30.5,198,No Failure,9.199999999999989,5075.2,6039.0
L,300.5,309.8,1441,48.8,200,No Failure,9.300000000000011,7364.0,9760.0
M,300.5,309.8,1566,35.9,204,No Failure,9.300000000000011,5887.3,7323.599999999999
L,300.4,309.6,1543,38.1,209,No Failure,9.200000000000045,6156.3,7962.900000000001
L,300.5,309.8,1421,49.6,211,No Failure,9.300000000000011,7380.8,10465.6
L,300.4,309.5,1711,29.2,215,No Failure,9.100000000000023,5231.9,6278.0
L,300.5,309.6,1465,41.6,217,No Failure,9.100000000000023,6382.0,9027.2
M,300.4,309.5,1888,21.9,221,No Failure,9.100000000000023,4329.9,4839.9
L,300.5,309.5,1379,55.6,2,No Failure,9.0,8029.1,111.2
L,300.4,309.5,1525,51.3,4,No Failure,9.100000000000023,8192.5,205.2
M,300.4,309.6,1563,34.0,6,No Failure,9.200000000000045,5565.0,204.0
M,300.5,309.7,1389,43.3,9,No Failure,9.199999999999989,6298.2,389.7
H,300.6,309.7,1470,43.8,18,No Failure,9.099999999999966,6742.5,788.4
M,300.6,309.7,1428,42.6,23,No Failure,9.099999999999966,6370.4,979.8000000000001
L,300.4,309.6,1319,48.1,26,No Failure,9.200000000000045,6643.8,1250.6000000000001
L,300.5,309.7,1887,24.3,28,No Failure,9.199999999999989,4801.8,680.4
L,300.4,309.5,1349,50.4,30,No Failure,9.100000000000023,7119.9,1512.0
L,300.3,309.5,1474,38.7,35,No Failure,9.199999999999989,5973.6,1354.5
L,300.4,309.5,1543,38.9,37,No Failure,9.100000000000023,6285.6,1439.3
M,300.2,309.4,1459,43.9,39,No Failure,9.199999999999989,6707.3,1712.1
L,300.2,309.4,1526,35.3,46,No Failure,9.199999999999989,5641.0,1623.8
L,300.2,309.2,1431,51.3,57,No Failure,9.0,7687.5,2924.1
L,300.2,309.3,1366,49.3,59,No Failure,9.100000000000023,7052.2,2908.7
L,300.1,309.2,1421,42.5,61,No Failure,9.099999999999966,6324.3,2592.5
H,300.2,309.3,1506,35.6,63,No Failure,9.100000000000023,5614.4,2242.8
H,300.2,309.3,1342,48.7,68,No Failure,9.100000000000023,6844.0,3311.6000000000004
L,300.1,309.2,1427,37.6,73,No Failure,9.099999999999966,5618.8,2744.8
L,300.2,309.2,1667,29.9,75,No Failure,9.0,5219.6,2242.5
M,300.0,309.0,1368,45.8,81,No Failure,9.0,6561.2,3709.7999999999997
L,299.9,309.0,1553,40.0,88,No Failure,9.100000000000023,6505.2,3520.0
M,300.1,309.1,1731,30.4,92,No Failure,9.0,5510.6,2796.7999999999997
L,300.1,309.2,1533,37.0,101,No Failure,9.099999999999966,5939.8,3737.0
