type,air_temperature_k,process_temperature_k,rotational_speed_rpm,torque_nm,tool_wear_min,diff_temperature_air_process,power_W,wear_x_torque_minNm
L,301.3,311.3,1434,49.8,16,10.0,7478.4,796.8
L,302.3,311.7,1611,38.6,143,9.399999999999977,6512.0,5519.8
L,298.8,309.8,1485,42.4,74,11.0,6593.6,3137.6
M,302.2,311.4,1398,47.2,202,9.199999999999989,6910.0,9534.400000000001
L,301.1,310.7,1436,45.3,8,9.599999999999966,6812.1,362.4
L,301.1,311.2,1774,29.6,186,10.099999999999966,5498.9,5505.6
L,301.9,311.2,1369,49.8,66,9.300000000000011,7139.4,3286.7999999999997
M,302.5,311.0,1387,52.1,116,8.5,7567.3,6043.6
L,302.2,311.3,1382,46.4,94,9.100000000000023,6715.1,4361.599999999999
L,298.2,308.0,1535,38.0,179,9.800000000000011,6108.3,6802.0
L,299.0,310.2,1575,37.8,42,11.199999999999989,6234.5,1587.6
L,301.5,310.5,1372,44.0,203,9.0,6321.7,8932.0
L,298.5,308.9,1725,31.9,205,10.399999999999977,5762.5,6539.5
L,296.4,307.4,1512,36.8,46,11.0,5826.8,1692.8
L,302.2,311.1,1447,52.1,174,8.900000000000034,7894.7,9065.4
M,302.2,310.9,1488,44.2,57,8.699999999999989,6887.4,2519.4
M,298.8,309.8,1551,36.6,15,11.0,5944.6,549.0
M,303.6,312.7,1765,27.5,115,9.099999999999966,5082.8,3162.5
L,296.8,307.6,1513,40.0,130,10.800000000000011,6337.6,5200.0
H,302.9,311.0,1452,58.3,123,8.100000000000023,8864.7,7170.9
M,299.8,309.3,1663,35.2,208,9.5,6130.0,7321.6
H,298.5,309.0,1531,30.8,212,10.5,4938.0,6529.6
L,302.1,311.2,1492,45.0,162,9.099999999999966,7030.9,7290.0
L,299.0,310.4,1452,46.2,168,11.399999999999977,7024.9,7761.6
M,303.5,312.3,1593,35.2,29,8.800000000000011,5872.0,1020.8000000000001
H,298.0,308.8,1411,53.8,73,10.800000000000011,7949.5,3927.3999999999996
L,298.9,310.0,1470,45.9,109,11.100000000000023,7065.8,5003.099999999999
H,295.6,306.2,1414,42.5,69,10.599999999999966,6293.1,2932.5
L,300.0,311.4,1487,41.2,22,11.399999999999977,6415.6,906.4000000000001
L,302.6,312.4,1628,33.0,15,9.799999999999955,5626.0,495.0
L,301.2,310.4,1470,44.0,113,9.199999999999989,6773.3,4972.0
L,301.8,311.2,1822,26.2,204,9.399999999999977,4998.9,5344.8
H,301.5,310.7,1394,46.7,130,9.199999999999989,6817.2,6071.0
M,302.5,310.4,1581,32.7,181,7.899999999999977,5413.9,5918.700000000001
M,298.2,309.0,1413,47.9,97,10.800000000000011,7087.7,4646.3
L,299.4,309.2,1489,42.3,114,9.800000000000011,6595.7,4822.2
L,298.1,308.0,1626,36.5,83,9.899999999999977,6215.0,3029.5
M,301.8,310.9,1358,52.3,56,9.099999999999966,7437.6,2928.7999999999997
M,301.0,310.7,1455,46.1,103,9.699999999999989,7024.1,4748.3
M,298.1,309.0,1533,36.1,189,10.899999999999977,5795.3,6822.900000000001
M,301.7,311.0,1537,33.5,146,9.300000000000011,5392.0,4891.0
H,301.1,311.6,1417,53.4,0,10.5,7923.9,0.0
H,298.7,309.3,1402,45.3,190,10.600000000000023,6650.8,8607.0
H,296.9,307.8,1345,54.5,172,10.900000000000034,7676.2,9374.0
M,299.0,310.3,1540,38.1,182,11.300000000000011,6144.3,6934.2
L,299.9,309.8,1716,28.2,117,9.900000000000034,5067.5,3299.4
M,302.3,310.9,1627,32.3,0,8.599999999999966,5503.2,0.0
L,296.8,308.0,1497,41.7,231,11.199999999999989,6537.1,9632.7
L,302.6,312.1,1519,38.1,178,9.5,6060.5,6781.8
L,298.8,310.0,1487,41.4,152,11.199999999999989,6446.7,6292.8
L,300.3,311.6,1607,33.5,109,11.300000000000011,5637.5,3651.5
L,297.5,308.6,1671,29.4,136,11.100000000000023,5144.6,3998.3999999999996
M,300.3,311.4,1371,50.2,109,11.099999999999966,7207.3,5471.8
L,300.3,311.8,1413,46.0,182,11.5,6806.6,8372.0
M,300.1,311.7,1400,48.5,205,11.599999999999966,7110.5,9942.5
L,297.7,309.3,1893,24.6,15,11.600000000000023,4876.6,369.0
H,296.9,308.3,1474,39.2,177,11.400000000000034,6050.8,6938.400000000001
L,297.1,308.2,1351,56.6,126,11.099999999999966,8007.6,7131.6
M,299.3,308.8,1648,28.4,188,9.5,4901.2,5339.2
L,299.4,309.3,1525,41.5,30,9.900000000000034,6627.5,1245.0
L,299.3,310.2,1495,49.2,16,10.899999999999977,7702.6,787.2
L,304.1,313.1,1327,54.1,57,9.0,7517.9,3083.7000000000003
L,302.6,311.9,1397,46.9,82,9.299999999999955,6861.2,3845.7999999999997
M,298.6,309.9,1818,24.9,9,11.299999999999955,4740.5,224.1
L,299.4,310.8,1622,33.6,217,11.400000000000034,5707.1,7291.200000000001
L,298.6,309.8,1370,56.0,0,11.199999999999989,8034.1,0.0
L,300.9,310.8,1701,30.4,55,9.900000000000034,5415.1,1672.0
L,299.6,309.4,1643,32.9,145,9.799999999999955,5660.6,4770.5
M,298.4,308.5,1576,27.4,55,10.100000000000023,4522.1,1507.0
M,296.2,307.2,1389,48.6,7,11.0,7069.1,340.2
L,302.0,311.0,1563,36.2,8,9.0,5925.1,289.6
M,299.3,308.6,1448,52.1,71,9.300000000000011,7900.1,3699.1
H,297.3,308.7,1430,42.8,153,11.399999999999977,6409.3,6548.4
L,299.1,308.2,1568,33.3,123,9.099999999999966,5467.9,4095.8999999999996
M,301.5,310.7,1359,47.1,115,9.199999999999989,6703.0,5416.5
L,298.6,309.3,1702,27.6,143,10.699999999999989,4919.2,3946.8
L,295.6,306.0,1569,40.4,174,10.399999999999977,6637.9,7029.599999999999
L,300.1,310.5,1494,44.2,117,10.399999999999977,6915.1,5171.400000000001
L,297.5,308.9,1390,47.4,187,11.399999999999977,6899.6,8863.8
L,300.5,311.6,1730,30.2,106,11.100000000000023,5471.2,3201.2
M,300.9,312.1,1297,48.6,76,11.200000000000045,6600.9,3693.6
M,300.8,310.5,1330,59.0,190,9.699999999999989,8217.4,11210.0
M,300.8,312.0,1450,45.0,183,11.199999999999989,6833.0,8235.0
H,298.0,309.2,1520,37.9,89,11.199999999999989,6032.7,3373.1
M,300.1,309.6,1501,38.0,157,9.5,5973.0,5966.0
L,297.4,308.2,1533,37.4,115,10.800000000000011,6004.0,4301.0
H,301.9,310.8,1455,42.7,85,8.900000000000034,6506.1,3629.5000000000005
L,299.4,308.7,1512,37.2,126,9.300000000000011,5890.1,4687.200000000001
H,300.5,309.4,1360,46.2,93,8.899999999999977,6579.8,4296.6
L,296.9,307.9,1435,41.6,139,11.0,6251.4,5782.400000000001
L,298.8,308.8,1555,40.6,61,10.0,6611.3,2476.6
M,299.5,309.2,1495,41.6,17,9.699999999999989,6512.7,707.2
L,297.6,309.5,1373,50.6,55,11.899999999999977,7275.3,2783.0
H,297.7,308.3,1488,41.0,101,10.600000000000023,6388.7,4141.0
M,300.6,309.5,1557,33.8,84,8.899999999999977,5511.0,2839.2
H,300.2,309.6,1442,49.2,61,9.400000000000034,7429.5,3001.2000000000003
M,301.9,310.6,1412,46.5,89,8.700000000000045,6875.7,4138.5
M,298.1,308.0,1924,20.8,29,9.899999999999977,4190.8,603.2
M,299.7,309.6,1534,39.1,176,9.900000000000034,6281.0,6881.6
L,297.8,309.7,1547,37.3,25,11.899999999999977,6042.7,932.4999999999999
L,300.5,309.8,1507,42.5,117,9.300000000000011,6707.0,4972.5
L,298.9,310.5,1640,29.2,195,11.600000000000023,5014.8,5694.0
L,299.2,308.7,1514,41.9,196,9.5,6643.1,8212.4
L,298.8,308.7,1591,31.1,68,9.899999999999977,5181.5,2114.8
L,298.4,309.2,2118,17.7,210,10.800000000000011,3925.8,3717.0
L,296.7,307.8,1605,31.3,128,11.100000000000023,5260.8,4006.4
L,297.9,309.2,1478,39.7,10,11.300000000000011,6144.6,397.0
M,301.3,311.2,1438,42.4,7,9.899999999999977,6384.9,296.8
L,304.1,313.2,1412,47.5,150,9.099999999999966,7023.6,7125.0
L,299.6,309.5,1803,27.7,159,9.899999999999977,5230.0,4404.3
M,298.9,310.1,1469,53.2,189,11.200000000000045,8183.9,10054.800000000001
L,302.5,312.2,1738,25.3,14,9.699999999999989,4604.7,354.2
H,298.0,307.6,1420,45.8,150,9.600000000000023,6810.6,6870.0
L,300.7,309.8,1406,48.4,151,9.100000000000023,7126.2,7308.4
H,297.7,308.9,1479,40.9,87,11.199999999999989,6334.6,3558.2999999999997
M,300.4,309.9,1415,31.8,192,9.5,4712.1,6105.6
L,300.7,310.1,1598,32.8,79,9.400000000000034,5488.8,2591.2
M,301.8,310.3,1666,32.7,19,8.5,5704.9,621.3000000000001
L,300.3,311.1,1480,46.6,185,10.800000000000011,7222.3,8621.0
H,298.3,309.1,1646,30.2,125,10.800000000000011,5205.5,3775.0
M,299.3,310.6,1609,31.4,99,11.300000000000011,5290.7,3108.6
L,301.1,310.8,1274,55.7,169,9.699999999999989,7431.1,9413.300000000001
M,297.5,308.5,1484,44.7,40,11.0,6946.6,1788.0
L,298.6,309.4,2312,15.5,44,10.799999999999955,3752.7,682.0
L,297.9,309.0,1562,35.8,40,11.100000000000023,5855.9,1432.0
L,299.1,310.5,1437,43.1,40,11.399999999999977,6485.8,1724.0
M,302.8,312.2,1469,36.9,143,9.399999999999977,5676.4,5276.7
M,298.1,307.7,1498,38.3,81,9.599999999999966,6008.1,3102.2999999999997
L,303.2,312.6,1601,35.3,148,9.400000000000034,5918.3,5224.4
L,299.1,308.5,1455,39.8,145,9.399999999999977,6064.2,5771.0
L,300.9,312.0,1493,38.7,217,11.100000000000023,6050.6,8397.900000000001
M,300.7,311.1,1373,49.9,96,10.400000000000034,7174.6,4790.4
L,296.5,307.5,1443,41.8,87,11.0,6316.4,3636.6
H,299.2,310.7,1636,29.4,23,11.5,5036.9,676.1999999999999
L,301.4,310.1,1502,46.6,37,8.700000000000045,7329.7,1724.2
L,300.8,310.9,1453,43.9,84,10.099999999999966,6679.7,3687.6
M,300.4,309.8,1356,44.4,136,9.400000000000034,6304.8,6038.4
H,298.2,307.9,1462,45.5,171,9.699999999999989,6966.1,7780.5
L,304.1,313.1,1556,36.3,86,9.0,5914.9,3121.7999999999997
L,300.1,309.1,1400,46.7,77,9.0,6846.6,3595.9
H,297.8,307.8,1662,30.7,48,10.0,5343.2,1473.6
H,299.8,310.6,1423,44.6,116,10.800000000000011,6646.1,5173.6
M,300.5,311.9,1670,26.3,89,11.399999999999977,4599.4,2340.7000000000003
H,304.2,313.5,1546,41.4,58,9.300000000000011,6702.5,2401.2
H,297.3,308.6,1431,42.0,109,11.300000000000011,6293.9,4578.0
L,297.6,308.6,1576,32.7,83,11.0,5396.8,2714.1000000000004
M,302.3,311.9,1508,42.3,159,9.599999999999966,6679.9,6725.7
M,296.9,308.0,1409,50.7,43,11.100000000000023,7480.8,2180.1
L,300.1,310.1,1380,52.6,59,10.0,7601.4,3103.4
L,300.3,309.9,1601,31.7,180,9.599999999999966,5314.7,5706.0
M,297.4,308.7,1481,48.0,117,11.300000000000011,7444.3,5616.0
L,297.4,308.2,1639,33.8,39,10.800000000000011,5801.3,1318.1999999999998
L,303.6,311.7,1491,39.8,92,8.099999999999966,6214.3,3661.6
L,299.3,310.4,1725,26.8,167,11.099999999999966,4841.2,4475.6
H,298.4,309.3,1694,30.9,111,10.900000000000034,5481.5,3429.8999999999996
L,300.2,309.4,1981,21.4,44,9.199999999999989,4439.4,941.5999999999999
H,300.6,309.5,1495,36.5,79,8.899999999999977,5714.3,2883.5
L,301.4,311.2,1355,50.6,37,9.800000000000011,7179.9,1872.2
H,302.2,311.2,1692,28.2,122,9.0,4996.6,3440.4
M,299.8,309.7,1320,61.7,134,9.899999999999977,8528.8,8267.800000000001
L,295.6,306.1,1389,46.2,113,10.5,6720.1,5220.6
H,300.4,311.2,1489,45.3,180,10.800000000000011,7063.5,8153.999999999999
L,297.4,308.3,1431,43.0,113,10.900000000000034,6443.7,4859.0
M,298.6,310.1,1458,41.9,61,11.5,6397.4,2555.9
M,298.3,309.2,1783,28.3,130,10.899999999999977,5284.0,3679.0
L,300.6,311.7,1553,39.8,0,11.099999999999966,6472.7,0.0
M,297.8,309.3,2243,15.7,36,11.5,3687.7,565.1999999999999
L,296.3,307.3,1566,35.8,175,11.0,5870.9,6264.999999999999
L,303.8,312.8,1443,40.7,145,9.0,6150.2,5901.5
L,300.7,311.8,1443,43.7,217,11.100000000000023,6603.5,9482.900000000001
L,300.7,310.3,1592,36.0,14,9.600000000000023,6001.7,504.0
L,298.8,308.6,1730,25.9,59,9.800000000000011,4692.2,1528.1
L,298.7,309.9,1541,38.5,208,11.199999999999989,6212.9,8008.0
L,297.1,308.3,1763,25.7,139,11.199999999999989,4744.8,3572.2999999999997
M,296.3,307.2,1446,45.9,180,10.899999999999977,6950.4,8262.0
H,300.9,311.4,1387,42.7,121,10.5,6202.0,5166.700000000001
L,300.4,311.1,1405,54.1,193,10.700000000000045,7959.8,10441.300000000001
L,299.0,308.7,2250,16.6,208,9.699999999999989,3911.3,3452.8
L,302.6,311.5,1427,38.9,213,8.899999999999977,5813.0,8285.699999999999
L,301.1,310.1,1666,27.2,40,9.0,4745.4,1088.0
L,297.9,307.9,1412,44.5,85,10.0,6580.0,3782.5
L,300.9,310.7,1658,28.5,18,9.800000000000011,4948.3,513.0
M,304.1,313.3,1725,28.3,177,9.199999999999989,5112.2,5009.1
L,299.2,308.4,1386,54.1,26,9.199999999999989,7852.2,1406.6000000000001
L,301.0,311.4,1573,37.6,103,10.399999999999977,6193.6,3872.8
L,300.0,309.3,1473,46.0,35,9.300000000000011,7095.6,1610.0
L,302.2,310.9,1531,37.5,60,8.699999999999989,6012.2,2250.0
H,302.4,311.6,1544,39.1,70,9.200000000000045,6322.0,2737.0
M,296.4,307.4,1416,50.0,210,11.0,7414.2,10500.0
M,299.3,309.1,1600,35.3,52,9.800000000000011,5914.6,1835.6
L,302.0,310.5,1567,36.1,124,8.5,5923.9,4476.400000000001
L,300.2,310.3,1202,59.5,40,10.100000000000023,7489.5,2380.0
M,301.3,310.6,1499,36.1,163,9.300000000000011,5666.8,5884.3
L,300.2,309.7,1448,36.8,14,9.5,5580.1,515.1999999999999
L,298.5,309.7,1613,36.7,0,11.199999999999989,6199.1,0.0
M,297.3,308.9,1799,24.5,137,11.599999999999966,4615.6,3356.5
L,300.6,310.0,1425,49.5,174,9.399999999999977,7386.7,8613.0
L,300.4,309.8,1342,52.5,68,9.400000000000034,7378.0,3570.0
L,301.0,311.2,1412,42.1,64,10.199999999999989,6225.1,2694.4
M,301.9,309.6,1439,41.7,201,7.7000000000000455,6283.8,8381.7
L,300.2,309.1,1479,47.0,22,8.900000000000034,7279.4,1034.0
H,300.8,309.9,2041,19.2,194,9.099999999999966,4103.7,3724.7999999999997
L,303.6,312.5,1710,31.4,180,8.899999999999977,5622.8,5652.0
M,304.0,313.0,1685,28.2,66,9.0,4976.0,1861.2
L,300.9,311.1,1471,39.3,91,10.200000000000045,6053.9,3576.2999999999997
L,298.4,309.7,1530,38.6,161,11.300000000000011,6184.5,6214.6
L,301.6,310.7,1638,33.8,196,9.099999999999966,5797.7,6624.799999999999
L,302.6,311.8,1638,35.1,17,9.199999999999989,6020.7,596.7
L,297.4,308.5,2100,16.9,176,11.100000000000023,3716.5,2974.3999999999996
L,301.9,311.0,1541,38.9,193,9.100000000000023,6277.4,7507.7
L,297.2,308.1,1662,31.3,0,10.900000000000034,5447.6,0.0
L,301.7,311.1,1644,32.8,206,9.400000000000034,5646.8,6756.799999999999
M,297.3,308.4,1449,44.4,34,11.099999999999966,6737.2,1509.6
M,297.4,308.6,1452,41.2,197,11.200000000000045,6264.6,8116.400000000001
L,297.4,308.4,1421,46.0,124,11.0,6845.1,5704.0
L,298.8,308.6,1872,22.5,82,9.800000000000011,4410.8,1845.0
L,300.1,311.4,1418,47.7,73,11.299999999999955,7083.1,3482.1000000000004
L,299.3,310.6,1443,45.7,97,11.300000000000011,6905.8,4432.900000000001
L,300.6,310.6,1514,39.5,87,10.0,6262.6,3436.5
L,302.0,309.7,1414,36.3,209,7.699999999999989,5375.1,7586.7
L,303.9,312.6,1642,32.3,127,8.700000000000045,5554.0,4102.099999999999
M,298.1,307.7,1424,47.7,103,9.599999999999966,7113.1,4913.1
M,302.2,311.3,1577,29.8,112,9.100000000000023,4921.3,3337.6
L,304.1,313.0,1408,45.3,28,8.899999999999977,6679.3,1268.3999999999999
M,298.6,308.4,1778,28.2,161,9.799999999999955,5250.6,4540.2
L,298.5,308.8,1589,30.6,11,10.300000000000011,5091.8,336.6
M,298.8,310.6,1640,33.8,9,11.800000000000011,5804.8,304.2
L,304.1,313.5,1469,44.6,113,9.399999999999977,6861.0,5039.8
L,303.4,312.3,1540,38.7,96,8.900000000000034,6241.1,3715.2000000000003
L,301.1,311.2,1910,20.2,41,10.099999999999966,4040.3,828.1999999999999
L,301.2,311.0,1596,37.2,219,9.800000000000011,6217.3,8146.8
L,300.3,311.7,1707,33.6,158,11.399999999999977,6006.2,5308.8
M,301.4,310.3,1610,29.1,166,8.900000000000034,4906.2,4830.6
L,299.1,308.8,1413,42.1,86,9.699999999999989,6229.5,3620.6
L,300.9,311.0,2003,20.2,138,10.100000000000023,4237.0,2787.6
L,298.3,309.6,1420,44.1,197,11.300000000000011,6557.8,8687.7
H,299.9,309.8,1400,48.7,119,9.900000000000034,7139.8,5795.3
L,300.1,311.4,1484,43.1,13,11.299999999999955,6697.9,560.3000000000001
L,300.4,311.8,1689,30.8,196,11.400000000000034,5447.6,6036.8
L,299.7,309.1,1713,33.5,141,9.400000000000034,6009.4,4723.5
M,297.4,309.4,1539,42.2,134,12.0,6801.1,5654.8
M,298.6,309.7,1314,49.7,136,11.099999999999966,6838.8,6759.200000000001
L,301.3,311.1,1504,39.1,2,9.800000000000011,6158.2,78.2
L,297.1,308.1,1446,36.6,227,11.0,5542.1,8308.2
L,296.7,307.8,1505,39.4,236,11.100000000000023,6209.6,9298.4
L,301.3,310.4,1501,41.6,192,9.099999999999966,6538.9,7987.200000000001
L,297.7,308.7,1694,29.1,102,11.0,5162.2,2968.2000000000003
H,297.7,309.3,1400,48.9,147,11.600000000000023,7169.1,7188.3
L,300.5,309.5,1777,23.6,0,9.0,4391.7,0.0
M,303.7,312.7,1612,36.3,200,9.0,6127.7,7259.999999999999
L,300.3,311.3,1332,60.5,112,11.0,8438.9,6776.0
L,299.3,309.1,1388,45.5,123,9.800000000000011,6613.5,5596.5
M,300.9,310.8,1519,34.9,73,9.900000000000034,5551.5,2547.7
L,301.7,311.0,1527,42.2,144,9.300000000000011,6748.1,6076.8
L,299.6,310.2,1381,60.5,13,10.599999999999966,8749.4,786.5
L,297.6,308.1,1437,46.3,149,10.5,6967.3,6898.7
L,302.3,311.2,1633,36.4,114,8.899999999999977,6224.7,4149.599999999999
M,301.8,311.1,1413,42.2,9,9.300000000000011,6244.3,379.8
M,296.8,307.9,1409,44.3,145,11.099999999999966,6536.5,6423.5
L,298.2,308.2,1466,42.4,164,10.0,6509.2,6953.599999999999
L,302.4,310.2,1503,36.2,166,7.800000000000011,5697.7,6009.200000000001
L,300.7,310.8,2113,18.5,95,10.100000000000023,4093.5,1757.5
L,296.8,307.8,1573,36.4,126,11.0,5996.0,4586.4
M,296.9,308.1,1357,41.8,127,11.200000000000045,5940.0,5308.599999999999
L,298.1,308.2,1521,39.3,151,10.099999999999966,6259.7,5934.299999999999
M,298.2,308.8,1607,31.9,39,10.600000000000023,5368.3,1244.1
H,302.7,311.5,1556,35.0,164,8.800000000000011,5703.0,5740.0
H,298.4,308.5,1827,24.3,153,10.100000000000023,4649.1,3717.9
M,297.8,309.0,1434,43.3,96,11.199999999999989,6502.3,4156.799999999999
M,303.7,312.4,1540,37.4,146,8.699999999999989,6031.4,5460.4
M,300.5,311.4,1312,51.4,60,10.899999999999977,7062.0,3084.0
L,300.6,309.3,1601,40.2,69,8.699999999999989,6739.8,2773.8
H,297.6,309.5,1623,33.1,224,11.899999999999977,5625.7,7414.400000000001
L,300.7,311.0,1462,41.9,126,10.300000000000011,6414.9,5279.4
L,300.8,310.0,1468,52.7,178,9.199999999999989,8101.5,9380.6
L,297.2,308.3,1656,30.3,124,11.100000000000023,5254.5,3757.2000000000003
L,299.2,308.8,1605,31.1,181,9.600000000000023,5227.1,5629.1
M,299.0,308.9,1449,39.6,105,9.899999999999977,6008.9,4158.0
H,301.6,310.4,1330,49.5,30,8.799999999999955,6894.2,1485.0
L,297.4,309.0,1324,56.9,173,11.600000000000023,7889.1,9843.699999999999
M,301.2,310.7,1615,34.9,95,9.5,5902.4,3315.5
L,299.8,309.2,1491,47.5,216,9.399999999999977,7416.5,10260.0
L,301.6,311.1,1680,29.2,111,9.5,5137.1,3241.2
L,298.5,308.7,1609,35.3,117,10.199999999999989,5947.8,4130.099999999999
L,298.8,309.9,1568,33.7,13,11.099999999999966,5533.6,438.1
L,299.7,309.2,1412,45.4,147,9.5,6713.0,6673.8
M,302.6,310.4,1544,35.1,25,7.7999999999999545,5675.2,877.5
L,301.7,310.7,1318,55.0,194,9.0,7591.1,10670.0
M,303.4,311.9,1510,42.2,36,8.5,6673.0,1519.2
M,298.4,309.5,1344,45.3,122,11.100000000000023,6375.7,5526.599999999999
H,300.8,310.3,1457,46.8,182,9.5,7140.6,8517.6
L,298.2,308.4,1355,49.4,209,10.199999999999989,7009.6,10324.6
L,300.0,309.3,1972,22.0,175,9.300000000000011,4543.2,3850.0
L,298.1,308.3,1301,56.0,63,10.199999999999989,7629.5,3528.0
L,298.4,308.9,1628,34.9,93,10.5,5949.9,3245.7
L,301.2,310.6,1409,50.9,66,9.400000000000034,7510.3,3359.4
L,301.0,310.8,1475,35.3,19,9.800000000000011,5452.5,670.6999999999999
L,296.6,307.6,1671,28.8,108,11.0,5039.6,3110.4
L,301.0,310.9,1492,44.6,15,9.899999999999977,6968.4,669.0
M,299.5,309.0,1701,28.6,98,9.5,5094.5,2802.8
H,302.3,311.3,1744,30.3,116,9.0,5533.7,3514.8
L,298.4,309.0,1474,52.7,95,10.600000000000023,8134.6,5006.5
L,298.4,310.1,1533,35.2,92,11.700000000000045,5650.8,3238.4
L,303.0,312.6,1451,42.1,125,9.600000000000023,6397.0,5262.5
L,297.1,308.3,1403,54.1,179,11.199999999999989,7948.5,9683.9
L,300.8,311.2,1492,39.0,109,10.399999999999977,6093.4,4251.0
L,298.9,308.7,1546,43.4,114,9.800000000000011,7026.3,4947.599999999999
M,299.2,308.8,1314,52.5,193,9.600000000000023,7224.1,10132.5
L,301.3,310.6,1510,38.5,47,9.300000000000011,6087.9,1809.5
M,300.5,310.0,1406,50.2,119,9.5,7391.2,5973.8
L,297.1,308.4,1726,28.4,202,11.299999999999955,5133.2,5736.799999999999
M,300.5,309.8,1410,44.4,111,9.300000000000011,6555.9,4928.4
L,300.3,309.2,1807,26.4,169,8.899999999999977,4995.6,4461.599999999999
L,302.5,310.3,1688,31.6,66,7.800000000000011,5585.8,2085.6
L,298.1,307.6,1460,46.5,143,9.5,7109.4,6649.5
L,299.3,309.1,1473,40.3,125,9.800000000000011,6216.4,5037.5
L,301.4,310.4,1388,45.3,188,9.0,6584.4,8516.4
H,300.5,310.7,1654,28.6,161,10.199999999999989,4953.7,4604.6
H,297.9,308.7,1545,35.9,120,10.800000000000011,5808.3,4308.0
M,299.2,310.4,1325,52.0,34,11.199999999999989,7215.2,1768.0
L,298.6,309.6,1386,48.6,25,11.0,7053.9,1215.0
M,300.9,310.8,1790,26.2,191,9.900000000000034,4911.1,5004.2
M,301.7,311.0,1505,44.0,187,9.300000000000011,6934.5,8228.0
M,300.5,311.9,1730,27.5,209,11.399999999999977,4982.0,5747.5
L,299.7,309.2,1411,46.1,173,9.5,6811.7,7975.3
M,297.7,309.6,1596,35.2,173,11.900000000000034,5883.1,6089.6
L,298.2,309.0,1780,29.3,91,10.800000000000011,5461.6,2666.3
L,297.8,308.4,1518,32.5,190,10.599999999999966,5166.3,6175.0
H,299.3,309.0,1508,35.0,70,9.699999999999989,5527.1,2450.0
M,297.5,308.5,1447,41.6,118,11.0,6303.6,4908.8
L,298.8,309.7,1505,39.0,131,10.899999999999977,6146.5,5109.0
M,303.4,312.8,1622,35.1,107,9.400000000000034,5961.9,3755.7000000000003
L,301.9,311.0,1353,43.8,130,9.100000000000023,6205.8,5694.0
H,297.8,307.9,1600,33.5,13,10.099999999999966,5613.0,435.5
M,299.5,310.7,1423,56.5,7,11.199999999999989,8419.4,395.5
M,301.2,310.9,1424,45.2,68,9.699999999999989,6740.3,3073.6000000000004
L,298.9,310.0,1564,33.8,183,11.100000000000023,5535.8,6185.4
H,301.3,310.4,1538,38.4,65,9.099999999999966,6184.7,2496.0
L,300.3,309.2,1649,32.4,50,8.899999999999977,5594.9,1620.0
M,297.4,308.9,1500,46.3,137,11.5,7272.8,6343.099999999999
H,298.5,309.2,1568,40.6,39,10.699999999999989,6666.5,1583.4
M,297.6,308.9,1479,38.1,182,11.299999999999955,5900.9,6934.2
L,302.4,310.1,1556,32.9,132,7.7000000000000455,5360.9,4342.8
L,298.3,307.8,1906,22.1,104,9.5,4411.1,2298.4
H,298.5,308.4,1612,36.1,174,9.899999999999977,6094.0,6281.400000000001
L,298.7,310.2,1566,33.1,68,11.5,5428.1,2250.8
L,302.6,310.5,1461,45.4,0,7.899999999999977,6946.0,0.0
M,302.5,311.9,1298,57.5,57,9.399999999999977,7815.8,3277.5
H,301.5,310.5,1551,34.3,166,9.0,5571.0,5693.799999999999
H,297.2,308.5,2440,14.0,166,11.300000000000011,3577.2,2324.0
M,303.7,312.8,1366,47.3,49,9.100000000000023,6766.1,2317.7
L,300.4,309.9,1435,54.8,70,9.5,8235.0,3836.0
H,300.6,311.5,1282,60.2,24,10.899999999999977,8081.9,1444.8000000000002
L,297.3,308.8,1554,36.1,70,11.5,5874.7,2527.0
M,299.6,310.9,1474,39.7,64,11.299999999999955,6128.0,2540.8
L,299.2,310.5,1705,29.5,95,11.300000000000011,5267.1,2802.5
L,298.9,308.3,1576,36.6,7,9.400000000000034,6040.4,256.2
M,299.0,310.1,1593,35.4,5,11.100000000000023,5905.4,177.0
M,298.6,309.9,1668,32.3,6,11.299999999999955,5641.9,193.79999999999998
H,297.4,308.7,1726,26.8,158,11.300000000000011,4844.0,4234.400000000001
M,299.9,309.6,1489,41.7,56,9.700000000000045,6502.2,2335.2000000000003
M,301.3,310.7,1300,58.3,92,9.399999999999977,7936.7,5363.599999999999
M,297.8,307.3,1804,26.0,222,9.5,4911.8,5772.0
L,299.2,308.5,1487,41.2,140,9.300000000000011,6415.6,5768.0
M,298.5,309.5,1535,39.8,87,11.0,6397.6,3462.6
L,298.3,308.6,1447,38.1,146,10.300000000000011,5773.3,5562.6
L,302.4,311.8,1493,38.4,132,9.400000000000034,6003.7,5068.8
L,298.3,310.1,1408,45.3,78,11.800000000000011,6679.3,3533.3999999999996
H,298.7,309.5,1453,40.4,108,10.800000000000011,6147.2,4363.2
L,300.2,310.1,1392,47.9,201,9.900000000000034,6982.4,9627.9
L,299.2,309.9,1516,41.4,219,10.699999999999989,6572.5,9066.6
L,300.9,310.3,1446,44.5,135,9.400000000000034,6738.4,6007.5
M,298.7,309.7,1629,27.9,136,11.0,4759.4,3794.3999999999996
H,303.8,312.5,1447,46.6,198,8.699999999999989,7061.3,9226.800000000001
L,302.4,310.8,1686,28.8,150,8.400000000000034,5084.9,4320.0
L,301.4,310.6,1481,37.6,77,9.200000000000045,5831.4,2895.2000000000003
M,301.6,310.5,1414,49.3,106,8.899999999999977,7300.0,5225.799999999999
